Residuos Urbanos de las e-DMAs E-PRTR 2008;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2008;A20015152;KROSAKI AMR REFRACTARIOS S.A.U.;2000000279;AMR Refractarios S.A. - FLORIDA;Hernani;150109;Envases textiles;R13;Urbano;0;KG
2008;A20015152;KROSAKI AMR REFRACTARIOS S.A.U.;2000000279;AMR Refractarios S.A. - FLORIDA;Hernani;200301;Mezclas de residuos municipales;R13;Urbano;15600;KG
2008;B20379194;ANODIZADOS ESPECIALES Y DUROS;2000001952;ANESDUR;Ordizia;200199;Otras fracciones no especificadas en otra categoría;R13;Urbano;200;KG
2008;B20379194;ANODIZADOS ESPECIALES Y DUROS;2000001952;ANESDUR;Ordizia;200199;Otras fracciones no especificadas en otra categoría;R13;Urbano;200;KG
2008;B20435301;ARCELORMITTAL GIPUZKOA;2000007979;ARCELOR MITTAL OLABERRÍA, S.L.;Olaberria;200301;Mezclas de residuos municipales;R13;Urbano;219800;KG
2008;B20435301;ARCELORMITTAL GIPUZKOA;2000001648;ARCELORMITTAL BERGARA, S.A.;Bergara;200138;Madera distinta de la especificada en el código 20 01 37;R13;Urbano;36380;KG
2008;B20435301;ARCELORMITTAL GIPUZKOA;2000001648;ARCELORMITTAL BERGARA, S.A.;Bergara;200301;Mezclas de residuos municipales;R13;Urbano;20100;KG
2008;B20435301;ARCELORMITTAL GIPUZKOA;2000001648;ARCELORMITTAL BERGARA, S.A.;Bergara;200101;Papel y cartón;R13;Urbano;16980;KG
2008;A28381473;ARKEMA QUIMICA;2000000240;ARKEMA QUÍMICA, S.A. - Fábrica de Hernani;Hernani;200301;Mezclas de residuos municipales;R13;Urbano;4813;KG
2008;A20094769;AVICOLA GORROTXATEGI;2000003014;AVICOLA GORROTXATEGI S.A.;Idiazabal;200301;Mezclas de residuos municipales;R13;Urbano;20000;KG
2008;B20481636;AVICOLA SAN BLAS;2000002896;AVICOLA SAN BLAS, S.L.;Idiazabal;200301;Mezclas de residuos municipales;R13;Urbano;2500;KG
