Contaminantes al AGUA de las e-DMAs E-PRTR ejercicio 2008 (Sumatorio cantidad másica por Contaminante);;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;Tipo;Contaminante;Descripción;Cod PRTR;Cantidad masica KG/Año
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Agua;011201;DIURON;37;0
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Agua;010126;ISODRIN;89;0
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Agua;011202;ISOPROTURON;67;0
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Agua;010132;SIMAZINA;51;0
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Agua;010803;TOLUENO (COMO BTEX);73;2,212
2008;A48018170;JESUS OÑATE Y HERMANOS;4800001557;JESUS OÑATE Y HERMANOS, S.A;Durango;Agua;020129;ARSÉNICO Y SUS COMPUESTOS;17;0,187
2008;A48018170;JESUS OÑATE Y HERMANOS;4800001557;JESUS OÑATE Y HERMANOS, S.A;Durango;Agua;020128;COBRE Y SUS COMPUESTOS;20;0,187
2008;A48018170;JESUS OÑATE Y HERMANOS;4800001557;JESUS OÑATE Y HERMANOS, S.A;Durango;Agua;020126;POTASIO;(null);7,38
2008;A48018170;JESUS OÑATE Y HERMANOS;4800001557;JESUS OÑATE Y HERMANOS, S.A;Durango;Agua;020118;SELENIO;(null);0,187
2008;B01292903;SIDENOR INDUSTRIAL;2000004629;SIDENOR INDUSTRIAL, S.L. (Azkoitia);Azkoitia;Agua;020132;ZINC Y SUS COMPUESTOS;24;26,82
2008;B95452769;LEAZ VALORIZACIONES;2000004630;VERTEDERO INERTES (AZKOITIA);Azkoitia;Agua;020132;ZINC Y SUS COMPUESTOS;24;0,18
2008;B95452769;LEAZ VALORIZACIONES;2000004630;VERTEDERO INERTES (AZKOITIA);Azkoitia;Agua;020127;CROMO Y SUS COMPUESTOS;19;0
2008;A48064521;FUNDICIONES GARBI;4800001566;FUNDICIONES GARBI;Abadiño;Agua;020128;COBRE Y SUS COMPUESTOS;20;0,07
2008;A48064521;FUNDICIONES GARBI;4800001566;FUNDICIONES GARBI;Abadiño;Agua;020132;ZINC Y SUS COMPUESTOS;24;0,25
2008;F48010177;SEBERIA BILBAINA;4800001570;SEBERIA BILBAINA, S.COOP.;Barakaldo;Agua;031000;SOLIDOS EN SUSPENSION;(null);1008
2008;F48010177;SEBERIA BILBAINA;4800001570;SEBERIA BILBAINA, S.COOP.;Barakaldo;Agua;020132;ZINC Y SUS COMPUESTOS;24;3
2008;A01038074;EKONOR;2000001048;EKONOR-PLANTA DE ADUNA;Aduna;Agua;020128;COBRE Y SUS COMPUESTOS;20;12,22
2008;A01038074;EKONOR;2000001048;EKONOR-PLANTA DE ADUNA;Aduna;Agua;020131;PLOMO Y SUS COMPUESTOS;23;0,66
2008;A01038074;EKONOR;2000001048;EKONOR-PLANTA DE ADUNA;Aduna;Agua;020400;DETERGENTES. AGENTES TENSOACTIVOS EN GENERAL;(null);13,54
2008;A01038074;EKONOR;2000001048;EKONOR-PLANTA DE ADUNA;Aduna;Agua;021400;NITRATOS;(null);849,8
2008;A01038074;EKONOR;2000001048;EKONOR-PLANTA DE ADUNA;Aduna;Agua;011008;BENZO(g, h, i)PERILENO (COMO PAH);(null);1,32
2008;A20098976;INDUSTRIAS SEUR;2000004574;INDUSTRIAS SEUR;Hernani;Agua;010600;ACEITES Y GRASAS MINERALES PERSISTENTES;(null);27,99
2008;B01292903;SIDENOR INDUSTRIAL;2000004628;GERDAU SIDENOR LEGAZPI;Legazpi;Agua;011003;FLUORANTENO;88;0,0004875
2008;A48435309;BILBAINA DE ALQUITRANES;4800001521;BILBAINA ALQUITRANES;Barakaldo;Agua;020117;PLOMO;(null);0
2008;A95075586;IBERDROLA GENERACION, S.A.U.;2000004679;IBERDROLA GENERACIÓN C. T. PASAJES;Pasaia;Agua;010100;COMPUESTOS ORGANOHALOGENADOS Y SUSTANCIAS QUE PUEDAN DAR ORIGEN A COMPUESTOS DE ESTA CLASE EN EL MEDIO ACUATICO;40;0
2008;A58410176;SARRIOPAPEL Y CELULOSA;2000004709;SARRIO PAPEL -FACTORIA DE URANGA-;Berrobi;Agua;011000;HIDROCARBUROS AROMÁTICOS POLÍCICLICOS (PAH);72;0
2008;A58410176;SARRIOPAPEL Y CELULOSA;2000004709;SARRIO PAPEL -FACTORIA DE URANGA-;Berrobi;Agua;010109;TRICLOROETILENO;57;0
2008;F20025292;FAGOR EDERLAN;2000004904;BEHE PRESIOKO ALUMINIO-MEKANIZAZIOA 2;Arrasate/Mondragón;Agua;022400;ACEITES Y GRASAS;(null);0
2008;B20032330;OBE HETTICH;2000004738;OBE Hettich, S.L. en Comandita;Aizarnazabal;Agua;020130;NÍQUEL Y SUS COMPUESTOS;22;0,426
